,attributes,datatype,date,station,value
0,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GAGN0005,0
1,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1GAGN0005,0
2,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GAGN0007,5
3,",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00091340,0
4,",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00091340,239
5,",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00091340,117
6,",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00091340,200
7,",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000GSTE,177
8,"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000GSTE,256
9,"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000GSTE,111
10,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013878,26
11,"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013878,0
12,",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00013878,211
13,",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00013878,122
14,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013878,160
15,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013878,170
16,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013878,58
17,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013878,112
18,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GAGN0005,0
19,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GAGN0005,0
20,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GAGN0007,0
21,"T,,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00091340,0
22,",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00091340,256
23,",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00091340,178
24,",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00091340,206
25,",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000GSTE,214
26,"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000GSTE,278
27,"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000GSTE,161
28,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013878,30
29,",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00013878,0
30,",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00013878,233
31,",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00013878,172
32,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013878,150
33,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013878,100
34,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013878,58
35,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013878,103
36,",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013878,1
37,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GAGN0005,41
38,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GAGN0007,43
39,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GAGN0008,89
40,",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00091340,89
41,",,7,2400",TMAX,2017-01-03T00:00:00,GHCND:USC00091340,239
42,",,7,2400",TMIN,2017-01-03T00:00:00,GHCND:USC00091340,172
43,",,7,2400",TOBS,2017-01-03T00:00:00,GHCND:USC00091340,172
44,",,U,",TAVG,2017-01-03T00:00:00,GHCND:USR0000GSTE,199
45,"H,,U,",TMAX,2017-01-03T00:00:00,GHCND:USR0000GSTE,250
46,"H,,U,",TMIN,2017-01-03T00:00:00,GHCND:USR0000GSTE,128
47,",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00013878,37
48,",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00013878,74
