,attributes,datatype,date,station,value
0,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OKNB0007,0
1,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OKNB0007,0
2,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OKPY0006,0
3,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OKPY0006,0
4,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OKPY0009,0
5,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OKPY0017,0
6,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OKPY0017,0
7,",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00342207,0
8,",,7,2400",SN32,2017-01-01T00:00:00,GHCND:USC00342207,44
9,",,7,2400",SX32,2017-01-01T00:00:00,GHCND:USC00342207,94
10,",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00342207,150
11,",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00342207,-28
12,",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00346756,0
13,",,7,2400",SN32,2017-01-01T00:00:00,GHCND:USC00346756,33
14,",,7,2400",SX32,2017-01-01T00:00:00,GHCND:USC00346756,106
15,",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00346756,144
16,",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00346756,-44
17,",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00347002,0
18,",,7,2400",SN32,2017-01-01T00:00:00,GHCND:USC00347002,39
19,",,7,2400",SX32,2017-01-01T00:00:00,GHCND:USC00347002,106
20,",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00347002,150
21,",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00347002,-28
22,",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00347003,0
23,",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00347012,0
24,",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00348499,0
25,",,7,2400",SN32,2017-01-01T00:00:00,GHCND:USC00348499,50
26,",,7,2400",SX32,2017-01-01T00:00:00,GHCND:USC00348499,94
27,",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00348499,150
28,",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00348499,-33
29,",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00348501,0
30,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003965,38
31,",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00003965,0
32,",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00003965,144
33,",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00003965,-38
34,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003965,170
35,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003965,160
36,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003965,76
37,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003965,94
38,",,R,",PRCP,2017-01-01T00:00:00,GHCND:USW00053926,0
39,",,R,",TMAX,2017-01-01T00:00:00,GHCND:USW00053926,148
40,",,R,",TMIN,2017-01-01T00:00:00,GHCND:USW00053926,-36
41,",,R,",PRCP,2017-01-01T00:00:00,GHCND:USW00053927,0
42,",,R,",TMAX,2017-01-01T00:00:00,GHCND:USW00053927,144
43,",,R,",TMIN,2017-01-01T00:00:00,GHCND:USW00053927,-46
44,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OKNB0007,0
45,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OKPY0006,0
46,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OKPY0006,0
47,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OKPY0009,0
48,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OKPY0017,0
49,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OKPY0017,0
50,",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00342207,8
