,attributes,datatype,date,station,value
0,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0003,30
1,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0010,43
2,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0038,20
3,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0039,36
4,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0044,36
5,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0057,18
6,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CALA0068,25
7,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CALA0068,0
8,",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1CALA0068,0
9,",,N,",WESD,2017-01-01T00:00:00,GHCND:US1CALA0068,0
10,",,N,",WESF,2017-01-01T00:00:00,GHCND:US1CALA0068,0
11,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAOR0028,33
12,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAOR0052,18
13,",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00046663,41
14,",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00047326,0
15,",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00047326,150
16,",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00047326,50
17,",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00047326,128
18,",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000CWHH,92
19,"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000CWHH,139
20,"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000CWHH,50
21,",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USW00003122,3
22,",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USW00003122,156
23,",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USW00003122,78
24,",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USW00003122,133
25,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003166,15
26,",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00003166,0
27,",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00003166,0
28,",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00003166,0
29,",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00003166,156
30,",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00003166,50
31,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003166,210
32,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003166,230
33,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003166,45
34,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003166,67
35,",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00003166,1
36,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003167,13
37,",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00003167,0
38,",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00003167,0
39,",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00003167,0
40,",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00003167,150
41,",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00003167,56
42,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003167,260
43,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003167,220
44,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003167,45
45,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003167,63
46,",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00003167,1
47,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00023129,14
48,",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00023129,0
49,"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00023129,98
50,",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00023129,144
51,",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00023129,56
52,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00023129,180
53,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00023129,140
54,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00023129,54
55,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00023129,67
56,",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00023129,1
57,",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00023129,1
58,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CALA0003,0
59,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CALA0003,0
60,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CALA0010,0
61,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CALA0010,0
62,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CALA0044,0
63,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CALA0044,0
64,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CALA0068,0
65,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CALA0068,0
66,",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1CALA0068,0
67,",,N,",WESD,2017-01-02T00:00:00,GHCND:US1CALA0068,0
68,",,N,",WESF,2017-01-02T00:00:00,GHCND:US1CALA0068,0
69,",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAOR0043,0
70,",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CAOR0043,0
71,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAOR0052,0
72,",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00046663,0
73,"T,,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00047326,0
74,",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00047326,139
75,",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00047326,89
76,",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00047326,128
77,",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000CWHH,98
78,"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000CWHH,122
79,"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000CWHH,83
80,",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USW00003122,0
81,",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USW00003122,133
82,",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USW00003122,106
83,",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USW00003122,122
84,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00003166,13
85,"T,,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00003166,0
86,",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00003166,0
87,",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00003166,139
88,",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00003166,89
89,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00003166,200
90,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00003166,130
91,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00003166,40
92,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00003166,72
93,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00003167,14
94,",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00003167,0
95,",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00003167,0
96,",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00003167,0
97,",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00003167,139
98,",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00003167,111
99,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00003167,240
100,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00003167,240
101,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00003167,40
102,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00003167,54
103,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00023129,14
104,",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00023129,0
105,"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00023129,116
106,",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00023129,139
107,",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00023129,94
108,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00023129,180
109,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00023129,170
110,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00023129,40
111,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00023129,58
112,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CALA0003,0
113,",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1CALA0003,0
114,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CALA0010,0
115,",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1CALA0010,0
116,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CALA0044,0
117,",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1CALA0044,0
118,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CALA0068,0
119,",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1CALA0068,0
