,attributes,datatype,date,station,value
0,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDNP0005,0
1,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDNP0005,0
2,",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IDNP0005,152
3,"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WAAS0002,0
4,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024149,39
5,",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00024149,3
6,",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00024149,8
7,",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00024149,0
8,"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00024149,-32
9,",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00024149,-5
10,",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00024149,-60
11,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00024149,190
12,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00024149,190
13,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00024149,107
14,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00024149,130
15,",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00024149,1
16,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IDNP0005,0
17,"T,,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IDNP0005,0
18,",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1IDNP0005,152
19,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1WAAS0002,0
20,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00024149,35
21,",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00024149,0
22,",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00024149,0
23,",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00024149,0
24,"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00024149,-36
25,",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00024149,-21
26,",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00024149,-60
27,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00024149,70
28,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00024149,60
29,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00024149,67
30,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00024149,98
31,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1WAAS0002,0
32,",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00024149,10
33,"T,,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00024149,0
34,"T,,W,",SNOW,2017-01-03T00:00:00,GHCND:USW00024149,0
35,",,W,",SNWD,2017-01-03T00:00:00,GHCND:USW00024149,0
36,"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00024149,-49
37,",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00024149,-27
38,",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00024149,-110
39,",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00024149,80
40,",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00024149,60
41,",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00024149,36
42,",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00024149,45
43,",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1IDNP0005,0
44,",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1IDNP0005,0
45,",,N,",SNWD,2017-01-04T00:00:00,GHCND:US1IDNP0005,140
46,",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1WAAS0002,0
47,",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00024149,7
48,",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00024149,0
49,",,W,",SNOW,2017-01-04T00:00:00,GHCND:USW00024149,0
50,",,W,",SNWD,2017-01-04T00:00:00,GHCND:USW00024149,0
51,"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00024149,-88
52,",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00024149,-38
53,",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00024149,-127
54,",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00024149,100
55,",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00024149,300
56,",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00024149,31
57,",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00024149,40
58,",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1IDNP0005,0
59,",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1IDNP0005,0
60,",,N,",SNWD,2017-01-05T00:00:00,GHCND:US1IDNP0005,140
61,",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1WAAS0002,0
62,",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00024149,11
63,",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00024149,0
64,",,W,",SNOW,2017-01-05T00:00:00,GHCND:USW00024149,0
65,",,W,",SNWD,2017-01-05T00:00:00,GHCND:USW00024149,0
66,"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00024149,-113
67,",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00024149,-88
68,",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00024149,-155
69,",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00024149,70
70,",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00024149,90
71,",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00024149,36
72,",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00024149,45
73,",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1WAAS0002,0
74,",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00024149,39
75,",,W,2400",PRCP,2017-01-06T00:00:00,GHCND:USW00024149,0
76,",,W,",SNOW,2017-01-06T00:00:00,GHCND:USW00024149,0
77,",,W,",SNWD,2017-01-06T00:00:00,GHCND:USW00024149,0
78,"H,,S,",TAVG,2017-01-06T00:00:00,GHCND:USW00024149,-102
79,",,W,2400",TMAX,2017-01-06T00:00:00,GHCND:USW00024149,-38
80,",,W,2400",TMIN,2017-01-06T00:00:00,GHCND:USW00024149,-143
81,",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00024149,140
82,",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00024149,150
83,",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00024149,94
84,",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00024149,112
85,",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1IDNP0005,0
86,",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1IDNP0005,0
87,",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1WAAS0002,0
88,",,W,",AWND,2017-01-07T00:00:00,GHCND:USW00024149,46
89,",,W,2400",PRCP,2017-01-07T00:00:00,GHCND:USW00024149,10
90,",,W,",SNOW,2017-01-07T00:00:00,GHCND:USW00024149,15
91,",,W,",SNWD,2017-01-07T00:00:00,GHCND:USW00024149,0
92,"H,,S,",TAVG,2017-01-07T00:00:00,GHCND:USW00024149,-74
93,",,W,2400",TMAX,2017-01-07T00:00:00,GHCND:USW00024149,-43
94,",,W,2400",TMIN,2017-01-07T00:00:00,GHCND:USW00024149,-105
95,",,W,",WDF2,2017-01-07T00:00:00,GHCND:USW00024149,100
96,",,W,",WDF5,2017-01-07T00:00:00,GHCND:USW00024149,120
97,",,W,",WSF2,2017-01-07T00:00:00,GHCND:USW00024149,94
98,",,W,",WSF5,2017-01-07T00:00:00,GHCND:USW00024149,125
99,",,W,",WT01,2017-01-07T00:00:00,GHCND:USW00024149,1
100,",,N,",PRCP,2017-01-08T00:00:00,GHCND:US1IDNP0005,23
101,",,N,",SNOW,2017-01-08T00:00:00,GHCND:US1IDNP0005,25
102,",,N,",SNWD,2017-01-08T00:00:00,GHCND:US1IDNP0005,152
103,",,N,",WESF,2017-01-08T00:00:00,GHCND:US1IDNP0005,23
