,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WIDN0005,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WIDN0005,0
2,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WIDN0005,102
3,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WIEC0014,0
4,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WIEC0014,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WIEC0018,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WIEC0018,0
7,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WIEC0018,114
8,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00471578,0
9,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00471578,0
10,",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00471578,102
11,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00472425,0
12,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00472425,0
13,",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00472425,102
14,",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00472425,-189
15,",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00472425,-261
16,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014991,29
17,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014991,0
18,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014991,0
19,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014991,100
20,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014991,-193
21,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014991,-271
22,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014991,260
23,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014991,260
24,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014991,58
25,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014991,72
26,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WIDN0005,0
27,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WIDN0005,0
28,",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1WIDN0005,102
29,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WIEC0014,0
30,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WIEC0014,0
31,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00471578,0
32,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00471578,0
33,",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00471578,102
34,"T,,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00472425,0
35,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00472425,13
36,",,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00472425,102
37,",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00472425,-94
38,",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00472425,-228
39,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014991,50
40,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00014991,5
41,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00014991,10
42,",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00014991,100
43,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00014991,-99
44,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00014991,-232
45,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00014991,220
46,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00014991,230
47,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00014991,107
48,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00014991,148
49,",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00014991,1
50,",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00014991,1
51,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1WIDN0005,3
52,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1WIDN0005,10
53,",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1WIDN0005,114
54,"T,,N,",SNOW,2018-01-03T00:00:00,GHCND:US1WIEC0014,0
55,"T,,N,",PRCP,2018-01-03T00:00:00,GHCND:US1WIEC0018,0
56,"T,,N,",SNOW,2018-01-03T00:00:00,GHCND:US1WIEC0018,0
57,",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1WIEC0018,114
58,",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00471578,8
59,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00471578,8
60,",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00471578,127
61,",,7,0800",WESD,2018-01-03T00:00:00,GHCND:USC00471578,51
62,",,7,2400",PRCP,2018-01-03T00:00:00,GHCND:USC00472425,0
63,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00472425,0
64,",,7,2400",SNWD,2018-01-03T00:00:00,GHCND:USC00472425,102
65,",,7,2400",TMAX,2018-01-03T00:00:00,GHCND:USC00472425,-117
66,",,7,2400",TMIN,2018-01-03T00:00:00,GHCND:USC00472425,-217
67,",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00014991,37
68,",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00014991,0
69,",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00014991,0
70,",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00014991,100
71,",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00014991,-116
72,",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00014991,-227
73,",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00014991,320
74,",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00014991,320
75,",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00014991,76
76,",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00014991,112
77,",,W,",WT08,2018-01-03T00:00:00,GHCND:USW00014991,1
78,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1WIDN0005,0
79,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1WIDN0005,0
80,",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1WIDN0005,102
81,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1WIEC0014,0
82,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1WIEC0014,0
83,",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00471578,0
84,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00471578,0
85,",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00471578,127
86,",,7,2400",PRCP,2018-01-04T00:00:00,GHCND:USC00472425,0
87,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00472425,0
88,",,7,2400",SNWD,2018-01-04T00:00:00,GHCND:USC00472425,102
89,",,7,2400",TMAX,2018-01-04T00:00:00,GHCND:USC00472425,-144
90,",,7,2400",TMIN,2018-01-04T00:00:00,GHCND:USC00472425,-261
91,",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00014991,6
92,",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00014991,0
93,",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00014991,0
94,",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00014991,100
95,",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00014991,-155
96,",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00014991,-282
97,",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00014991,260
